10;3;3;;17007D2D76;;48;1;False;True;;;;;;
100;1;1;;17007E2E67;;48;2;False;True;;;;;;
101;6;6;;550025DC46;;48;2;False;True;;;;;;
102;9;9;;550026D81C;;48;2;False;True;;;;;;
103;10;10;;550042C57F;;48;1;False;True;;;;;;
104;11;11;;17007DF7C1;;48;2;False;True;;;;;;
105;12;12;;5500365121;;48;2;False;True;;;;;;
1000;2;2;;550030D977;;48;3;False;True;;;;;;
1001;4;4;;17007DB5E0;;48;3;False;True;;;;;;
1002;5;5;;88005A4C59;;48;250;False;True;;;;;;
1003;7;7;;55002658DF;;48;3;False;True;;;;;;
1004;8;8;;550040841A;;48;3;False;True;;;;;;
